,date,user,comment
95,2021-12-30 20:17:46,Twokinds,Ahoyhoy
98,2021-12-30 20:20:20,Twokinds,What should I draw today...
102,2021-12-30 20:21:22,Twokinds,That's not possible!
104,2021-12-30 20:24:35,Twokinds,Hello!
105,2021-12-30 20:24:47,Twokinds,How is everyone
108,2021-12-30 20:26:59,Twokinds,I'm amazing!
254,2021-12-30 21:25:56,Twokinds,:ctwokinds-nibsdance_xmas:
280,2021-12-30 21:32:13,Twokinds,:ctwokinds-nibsrun_xmas::ctwokinds-nibsrun_xmas::ctwokinds-nibsrun_xmas:
339,2021-12-30 21:42:54,Twokinds,That's enough warmup
425,2021-12-30 21:54:27,Twokinds,:ctwokinds-floAAA_xmas:
460,2021-12-30 21:57:51,Twokinds,Fluff! It's been a long time since we ever multied together.
537,2021-12-30 22:04:16,Twokinds,Anyone doing New Years resolutions for 2022?
558,2021-12-30 22:05:48,Twokinds,That's the spirit!
562,2021-12-30 22:06:02,Twokinds,My resolution is learn 3D!
575,2021-12-30 22:06:38,Twokinds,"What a coincidence, Kame!"
576,2021-12-30 22:06:43,Twokinds,:ctwokinds-floexcite_xmas:
769,2021-12-30 22:26:47,Twokinds,Have a new year!
831,2021-12-30 22:33:20,Twokinds,"As a matter of fact, they can't"
880,2021-12-30 22:38:29,Twokinds,Sketch done
885,2021-12-30 22:38:39,Twokinds,Gunna go get some hot chocolate
929,2021-12-30 22:45:23,Twokinds,I'm back!
930,2021-12-30 22:45:27,Twokinds,With eggnog!
944,2021-12-30 22:46:06,Twokinds,:eyes:
954,2021-12-30 22:46:33,Twokinds,"Hey, thanks ErdFurr!"
956,2021-12-30 22:46:38,Twokinds,I appreciate it!
959,2021-12-30 22:46:46,Twokinds,I hope you're able-
960,2021-12-30 22:46:48,Twokinds,:O
965,2021-12-30 22:46:57,Twokinds,OH MY~!
975,2021-12-30 22:47:22,Twokinds,Nice W0lf!
994,2021-12-30 22:48:42,Twokinds,"Good luck, ErdFurr! I hope you're able to do a comic of your own one day! :)"
1000,2021-12-30 22:49:54,Twokinds,:ctwokinds-trace_xmas:
1013,2021-12-30 22:50:51,Twokinds,Oh! You have?
1014,2021-12-30 22:51:02,Twokinds,That's great! :D
1015,2021-12-30 22:51:14,Twokinds,"Sorry, W0lf distracted me from your message"
1017,2021-12-30 22:51:17,Twokinds,XD
1100,2021-12-30 22:59:17,Twokinds,Dogs are going crazy
1117,2021-12-30 23:00:37,Twokinds,I think it's a fireworks yeah
1141,2021-12-30 23:04:45,Twokinds,lol
1143,2021-12-30 23:04:57,Twokinds,Moondance got me wanting to do some black and gold
1158,2021-12-30 23:06:32,Twokinds,I've always liked the casual black turtleneck look. I dunno.
1209,2021-12-30 23:11:29,Twokinds,Welcome back!
1391,2021-12-30 23:45:42,Twokinds,Heheh
1393,2021-12-30 23:45:51,Twokinds,"I was like ""wait a minute, white wine would be more appropriate"
1401,2021-12-30 23:46:30,Twokinds,HI! <( ' ' )>
1407,2021-12-30 23:47:14,Twokinds,That's doctor to you
1414,2021-12-30 23:47:31,Twokinds,"I didn't spend 4 years printing a fake diploma to be called ""mr"""
17,2021-12-31 00:00:54,Twokinds,HAPPY NEW YEAR!!!
19,2021-12-31 00:01:00,Twokinds,:ctwokinds-nibsdance_xmas::ctwokinds-nibsdance_xmas::ctwokinds-nibsdance_xmas:
28,2021-12-31 00:01:28,Twokinds,It's going to be a great year! So great we won't need another one.
293,2021-12-31 00:33:28,Twokinds,Done
294,2021-12-31 00:33:31,Twokinds,Happy New Year!
374,2021-12-31 00:39:30,Twokinds,ty!
375,2021-12-31 00:39:35,Twokinds,yeah
386,2021-12-31 00:40:34,Twokinds,^^
389,2021-12-31 00:40:40,Twokinds,"Are you calling it, Sage?"
391,2021-12-31 00:40:47,Twokinds,I'm calling as well
399,2021-12-31 00:41:05,Twokinds,Night!
526,2021-12-31 02:20:27,Twokinds,HAPPY NEW YEEEEARRRR
529,2021-12-31 02:27:49,Twokinds,:champagne::champagne_glass:
637,2021-12-31 18:35:06,Twokinds,:pizza::chipmunk:
94,2022-01-01 16:12:44,Twokinds,:ctwokinds-flozzz_zmas:
100,2022-01-01 16:13:58,Twokinds,I just woke up
101,2022-01-01 16:13:59,Twokinds,Eugh
372,2022-01-01 17:06:52,Twokinds,Hey Skidd
415,2022-01-01 17:10:21,Twokinds,:ctwokinds-nibsdance_xmas::ctwokinds-nibsbounce_xmas::ctwokinds-nibsdance_xmas:
497,2022-01-01 17:14:48,Twokinds,:ctwokinds-nibsdance_xmas::cw0lfmare-Embermidriffdance50::ctwokinds-nibsdance_xmas:
767,2022-01-01 17:42:15,Twokinds,Done
790,2022-01-01 17:43:43,Twokinds,o/
835,2022-01-01 17:48:12,Twokinds,It means hill. Restful hill.
836,2022-01-01 17:48:18,Twokinds,Saria of Boring Hill.
862,2022-01-01 17:51:57,Twokinds,That's pretty much how people really were named
871,2022-01-01 17:53:33,Twokinds,Yeah
875,2022-01-01 17:53:52,Twokinds,It's like... Fishing Brook.
879,2022-01-01 17:54:21,Twokinds,So the original Fischbachs were presumably fishermen. Or people who lived near a place were they fished.
898,2022-01-01 17:56:05,Twokinds,old human
909,2022-01-01 17:57:02,Twokinds,Same old human that came up with the word Keidran. Which means beast people.
911,2022-01-01 17:57:26,Twokinds,"And Keiren, which means beast killer, or just Hunter."
918,2022-01-01 17:58:39,Twokinds,It's just the old version of what humans speak now in the comic
920,2022-01-01 17:58:43,Twokinds,It's a made-up language.
925,2022-01-01 17:59:16,Twokinds,No
926,2022-01-01 17:59:20,Twokinds,Not a real language
932,2022-01-01 17:59:31,Twokinds,That would be impossible
940,2022-01-01 18:00:01,Twokinds,I'm no Jolkien Rolkien Rolkien Tolkien
958,2022-01-01 18:01:21,Twokinds,:thumbsdown:
990,2022-01-01 18:04:24,Twokinds,lol
995,2022-01-01 18:04:41,Twokinds,I was making up that boring hill stuff
1007,2022-01-01 18:05:42,Twokinds,"I couldn't remember what it meant, but I figured someone would mention it eventually."
1030,2022-01-01 18:07:31,Twokinds,Yeah
1031,2022-01-01 18:07:45,Twokinds,Because her family are blacksmiths 
1076,2022-01-01 18:13:46,Twokinds,Uh... I can't do the math...
1081,2022-01-01 18:13:58,Twokinds,Yeah she was much older than Trace when they married.
1082,2022-01-01 18:14:20,Twokinds,It was a point of contention
1107,2022-01-01 18:16:01,Twokinds,No
1114,2022-01-01 18:16:37,Twokinds,She's was apprehensive about dating someone so young.
1136,2022-01-01 18:20:03,Twokinds,It doesn't mean Keidran hunter
1138,2022-01-01 18:20:06,Twokinds,It just mean hunter
1139,2022-01-01 18:20:11,Twokinds,Like... guys who are named hunter.
1147,2022-01-01 18:20:57,Twokinds,Kei means animal.
1153,2022-01-01 18:21:32,Twokinds,Yeah
1170,2022-01-01 18:23:38,Twokinds,"Not an unusual thing for a long time in human history, sadly."
1214,2022-01-01 18:29:05,Twokinds,"I gave up soda for New Years exactly 10 years ago, in 2012."
1231,2022-01-01 18:29:49,Twokinds,"The weird thing is, I still remember what coke tastes like, even after all these years. It's insidious."
1317,2022-01-01 18:36:40,Twokinds,Finish later
1597,2022-01-01 19:06:59,Twokinds,"Oh yeah, I meant to post that!"
1601,2022-01-01 19:07:18,Twokinds,Yeah
1603,2022-01-01 19:07:20,Twokinds,brb
1616,2022-01-01 19:08:50,Twokinds,Maybe one day
1636,2022-01-01 19:10:36,Twokinds,There it's on DA
1639,2022-01-01 19:11:01,Twokinds,"I didn't want to post it during the holidays, cause there was so many other things going on."
1767,2022-01-01 19:36:14,Twokinds,Done
1788,2022-01-01 19:37:07,Twokinds,Old school
2353,2022-01-01 20:43:15,Twokinds,Done
2372,2022-01-01 20:45:40,Twokinds,oh yeah
2373,2022-01-01 20:45:45,Twokinds,I'll probably clean it up
2410,2022-01-01 20:50:44,Twokinds,"Well, the strongest Basitins are almost entirely immune to magic, so I'm not sure it'd be that big of an advantage."
2411,2022-01-01 20:51:02,Twokinds,So I guess it depends on how powerful she is
2417,2022-01-01 20:52:29,Twokinds,"It's possible. Jane's not invincible, for sure."
2418,2022-01-01 20:52:44,Twokinds,"She's getting up there in age, but it'd be a challenge for sure."
2436,2022-01-01 20:53:57,Twokinds,"Being a human, you'd be without the Basitin's supernatural strength."
2651,2022-01-01 21:23:18,Twokinds,Done
2671,2022-01-01 21:25:34,Twokinds,"She was like family to Keith, before his banishment. Keith knew she was off the mainland, and thought dead, but he figured finding her was his best bet, if he ended up banished forever."
2672,2022-01-01 21:25:42,Twokinds,So he thought about her often.
2687,2022-01-01 21:27:12,Twokinds,Yeah probably
2690,2022-01-01 21:27:54,Twokinds,"The next one, I actually am already done with!"
2697,2022-01-01 21:28:08,Twokinds,Yes
2745,2022-01-01 21:29:37,Twokinds,Hi Lannnnnnnnnnnn
2769,2022-01-01 21:30:36,Twokinds,I drew this over the holidays because I liked the idea
