,date,user,comment
508,2021-01-02 16:12:17,Twokinds,welcome
572,2021-01-02 16:15:20,Twokinds,Hello from Ohio! :corn:
667,2021-01-02 16:26:32,Twokinds,Ember can collect the pants at the front entrance.
673,2021-01-02 16:26:41,Twokinds,Coat check
681,2021-01-02 16:27:26,Twokinds,lol it's just the new fad
682,2021-01-02 16:27:36,Twokinds,I'm sure it'll die down when the next big thing comes around
689,2021-01-02 16:28:29,Twokinds,"Oh, I just realized Flora and Kat are now exactly tied in tag count on Patreon."
701,2021-01-02 16:29:20,Twokinds,Raine and Laura seem to be catching up fast. They passed up Nora.
703,2021-01-02 16:29:39,Twokinds,I'm actually surprised Zen is in the top 10
804,2021-01-02 16:40:16,Twokinds,Or a counterpoint to the one where Natani rubbed Keith's ears
920,2021-01-02 17:01:48,Twokinds,brb
1106,2021-01-02 17:48:23,Twokinds,Done
1163,2021-01-02 18:01:05,Twokinds,"I'm not sure if I need to say this, but JUST IN CASE, I will reiterate that all the characters are adults even in this totally made up setting."
1165,2021-01-02 18:01:25,Twokinds,Just for that ONE person who'd getting upset about this sort of thing :ctwokinds-eyeroll:
1188,2021-01-02 18:03:01,Twokinds,"Nah, it's called Twokinds High, but it's a higher level education university boarding school or whatever"
1239,2021-01-02 18:08:56,Twokinds,I went to college for 4 years and I believe my debt at the end was around 15k
1242,2021-01-02 18:09:06,Twokinds,But then again I only went to two classes a semester XD
1324,2021-01-02 18:15:46,Twokinds,Sorry brb! Doorbell
1368,2021-01-02 18:21:10,Twokinds,BACK!
1370,2021-01-02 18:21:11,Twokinds,Sorry about that
1407,2021-01-02 18:31:03,Twokinds,Drawing is easy! :D
1415,2021-01-02 18:31:38,Twokinds,"Tools and software are so much more easily accessible these days, and tutorials are aplenty. It's a great time to learn!"
1557,2021-01-02 18:47:54,Twokinds,"I had a line in there about how Clovis' mage detected it was him, but it was too wordy. But that's how. Magic personel tracers."
1572,2021-01-02 18:49:47,Twokinds,"""That cow ate Sam!"""
1597,2021-01-02 18:52:08,Twokinds,Yeah lethal damage will revert the change.
1649,2021-01-02 19:01:53,Twokinds,"I'll draw the other two and format it as the game later, in post"
1650,2021-01-02 19:01:58,Twokinds,I think I should move on though ^^
1746,2021-01-02 19:17:51,Twokinds,:O
1747,2021-01-02 19:17:57,Twokinds,I love white chocolate
1791,2021-01-02 19:22:15,Twokinds,"""I'm not gregnant!"""
1865,2021-01-02 19:31:42,Twokinds,Reni can't magic clothes
1867,2021-01-02 19:31:47,Twokinds,That's why she had to go away to change.
1882,2021-01-02 19:36:18,Twokinds,It's actually pretty rare for a dragon to be born from two dragons.
1909,2021-01-02 19:40:48,Twokinds,Hi Kameloh!
2093,2021-01-02 20:11:44,Twokinds,Reni is still a young and naive dragon
2095,2021-01-02 20:12:17,Twokinds,"Actually, one of Reni's greatest fears is becoming cold and indifferent to people, like Nora."
2147,2021-01-02 20:22:35,Twokinds,Done
2175,2021-01-02 20:24:40,Twokinds,Then she turned into a dog and runs away. Keiren is left very confused.
2416,2021-01-02 21:00:00,Twokinds,Done
2491,2021-01-02 21:08:57,Twokinds,"Yeah I'll have to do the last ones later, I suspect"
2492,2021-01-02 21:09:03,Twokinds,I've been slow tonight
2513,2021-01-02 21:12:34,Twokinds,Nah drawing hand's just acting up a bit being all slow
2514,2021-01-02 21:12:42,Twokinds,Probably the two comic pages fairly close together
2560,2021-01-02 21:18:22,Twokinds,no what I was expecting
2578,2021-01-02 21:20:31,Twokinds,"I agree, but in this case, it could be worded to mean Clovis chose to enchant himself in that way."
2608,2021-01-02 21:22:20,Twokinds,Night!
2627,2021-01-02 21:25:13,Twokinds,:cow2::chicken::pig2:
2740,2021-01-02 21:41:58,Twokinds,sorry brb
2769,2021-01-02 21:51:34,Twokinds,I'm back!
2770,2021-01-02 21:51:37,Twokinds,Sorry
2777,2021-01-02 21:51:52,Twokinds,"I think I'll run the last poll now, before more people have to leave"
2878,2021-01-02 22:03:40,Twokinds,OH NO
2881,2021-01-02 22:03:53,Twokinds,I'm going to have to draw a car
3035,2021-01-02 22:15:29,Twokinds,Done
3060,2021-01-02 22:17:10,Twokinds,I think I'm feeling about how they're feeling right now
3071,2021-01-02 22:17:29,Twokinds,I'm gunna call it for now. We'll do more tomorrow.
3095,2021-01-02 22:18:28,Twokinds,"I might do the clean up stuff and tom pick off screen, but maybe I'll stream tomorrow."
3097,2021-01-02 22:18:36,Twokinds,And of course the last one
3186,2021-01-02 22:24:59,Twokinds,Have a good evening everyone!
3208,2021-01-02 22:25:33,Twokinds,I might actually post this new years one first
3211,2021-01-02 22:25:39,Twokinds,Just so that it's closer to new years
3252,2021-01-02 22:30:44,Twokinds,I wish I was in a food coma
3253,2021-01-02 22:30:49,Twokinds,I haven't eaten since breakfast
3260,2021-01-02 22:31:22,Twokinds,ooooooh
3373,2021-01-02 22:59:07,Twokinds,:ctwokinds-sytheeyebrows:
380,2021-01-03 20:16:54,Twokinds,Doing touchup work offscreen for now. Not feeling up to stream tonight.
84,2021-01-04 17:38:57,Twokinds,:ctwokinds-kingtea:
150,2021-01-05 19:35:32,Twokinds,:ctwokinds-reniderp:
156,2021-01-05 19:40:23,Twokinds,:butterfly:
114,2021-01-06 02:57:53,Twokinds,:ctwokinds-nibsdance:
137,2021-01-06 13:29:09,Twokinds,:ctwokinds-daydreamingkat::ctwokinds-flomad:
150,2021-01-06 14:11:18,Twokinds,Haha
151,2021-01-06 14:12:01,Twokinds,"It's more like that's the first I drew, then I said ""boy, that's a lot of locks"" and did the rest lazily."
152,2021-01-06 14:12:08,Twokinds,"But yeah, we'll go with that."
156,2021-01-06 15:32:07,Twokinds,:ctwokinds-nibsdance:
236,2021-01-06 17:21:22,Twokinds,In what regard?
238,2021-01-06 17:21:51,Twokinds,Crabs look cool.
239,2021-01-06 17:22:04,Twokinds,:crab:
243,2021-01-06 17:22:46,Twokinds,I'd say they're more interesting than shrimp or lobster
245,2021-01-06 17:23:56,Twokinds,I dunno
342,2021-01-07 21:20:32,Twokinds,:ctwokinds-nibsdance:
398,2021-01-07 21:26:19,Twokinds,:ctwokinds-nibsbounce: stem soon
1217,2021-01-07 23:15:07,Twokinds,Eh they're not really designed to be all that interesting
1220,2021-01-07 23:15:33,Twokinds,And you've already got characters like Carver and Brutus who has more interesting characteristics and personalities
1313,2021-01-07 23:31:56,Twokinds,no
1324,2021-01-07 23:37:47,Twokinds,Don't ask questions
1476,2021-01-07 23:55:44,Twokinds,Done
148,2021-01-08 00:27:23,Twokinds,yee
164,2021-01-08 00:29:18,Twokinds,This is a SUPER NES old man!
173,2021-01-08 00:30:29,Twokinds,"Yeah I was mostly a PC gamer, but SNES was my first console."
177,2021-01-08 00:31:09,Twokinds,"I still have it! It's sitting my my basement right now, with an earthbound cartriage stuck in it from the last time I played it, years and years ago."
184,2021-01-08 00:31:54,Twokinds,"Earthbound and Super Mario RPG, those were my two favorite games."
228,2021-01-08 00:36:48,Twokinds,o/
305,2021-01-08 00:48:58,Twokinds,Done
326,2021-01-08 00:51:52,Twokinds,"I also finished up this, unless they ask for more changes"
332,2021-01-08 00:52:06,Twokinds,I added another age to this
374,2021-01-08 00:56:16,Twokinds,Tom Soyer is the one with the fence. I think.
376,2021-01-08 00:56:19,Twokinds,Now I'm not sure
381,2021-01-08 00:56:42,Twokinds,"And usually around 8, I guess?"
384,2021-01-08 00:57:02,Twokinds,8-9?
400,2021-01-08 00:59:25,Twokinds,I think that's it for me now.
430,2021-01-08 01:01:26,Twokinds,yep! o/
34,2021-01-09 14:20:27,Twokinds,:ctwokinds-nibsdance:
35,2021-01-09 14:20:31,Twokinds,Party time
58,2021-01-09 14:53:25,Twokinds,I accidentally didn't remember to put up the omnipoll yesterday XD
59,2021-01-09 14:53:41,Twokinds,"I remembered later in the evening, but it wouldn't have really given enough time for everyone."
60,2021-01-09 14:54:08,Twokinds,"I think I'll simply use this poll, with the winner today taken out, and make it into the omnipoll for next week on the Patreon."
63,2021-01-09 14:55:47,Twokinds,Heheh
64,2021-01-09 14:55:56,Twokinds,"It's fine, we'll just do it like normal today."
149,2021-01-09 15:51:52,Twokinds,:ctwokinds-floAAA:
339,2021-01-09 16:06:34,Twokinds,:ctwokinds-nibsdance:
480,2021-01-09 16:19:20,Twokinds,HOI w0lf!
518,2021-01-09 16:21:42,Twokinds,She did
519,2021-01-09 16:21:45,Twokinds,Sorta
520,2021-01-09 16:21:56,Twokinds,This music reminds me a lot of FTL
800,2021-01-09 16:50:04,Twokinds,"If it's sfw, sure"
920,2021-01-09 16:57:58,Twokinds,Sure
926,2021-01-09 16:58:15,Twokinds,There's some Keidran who lose fur for any number of reasons
1065,2021-01-09 17:12:58,Twokinds,Well one is Samuel and the other is Samantha Potts
1123,2021-01-09 17:19:48,Twokinds,Done
1984,2021-01-09 18:35:22,Twokinds,It's one later
1985,2021-01-09 18:35:25,Twokinds,layer*
