,date,user,comment
1,2018-12-30 01:08:11,Twokinds,night
32,2018-12-30 10:15:12,Twokinds,:ctwokinds-kingtea:
43,2018-12-30 11:27:07,Twokinds,Moooorning
44,2018-12-30 11:27:15,Twokinds,Things are slow today
62,2018-12-30 12:55:41,Twokinds,:ctwokinds-nibsbounce:
65,2018-12-30 13:14:57,Twokinds,Putting together my plans for 2019
79,2018-12-30 14:51:27,Twokinds,:ctwokinds-florajiggle:
92,2018-12-30 18:08:27,Twokinds,See you next year!
97,2018-12-30 18:09:56,Twokinds,Good luck
101,2018-12-30 18:13:09,Twokinds,What's your New Years Resolution?
104,2018-12-30 18:14:31,Twokinds,meta
108,2018-12-30 18:17:42,Twokinds,heh
112,2018-12-30 18:19:43,Twokinds,lol
113,2018-12-30 18:19:48,Twokinds,Sounds like a good time
119,2018-12-30 18:23:28,Twokinds,My resolution is to sketch one comic page every day.
121,2018-12-30 18:24:16,Twokinds,yes
154,2018-12-30 19:17:01,Twokinds,HAPPY NEW YEAR!
164,2018-12-30 19:25:25,Twokinds,"Oh right you're in the future, yes?"
165,2018-12-30 19:25:33,Twokinds,How is 2019? Is it any better than 2018?!
170,2018-12-30 19:28:09,Twokinds,"Oh sweet, Sage will be happy to hear about that."
173,2018-12-30 19:28:37,Twokinds,Maids
174,2018-12-30 19:28:42,Twokinds,on fire?
241,2018-12-30 20:39:52,Twokinds,:ctwokinds-nibsdance:
242,2018-12-30 20:46:23,Twokinds,omelette du fromage
245,2018-12-30 21:05:53,Twokinds,"I just played myself in checkers, and lost very badly."
247,2018-12-30 21:09:35,Twokinds,Me
248,2018-12-30 21:09:37,Twokinds,But it was the other me
252,2018-12-30 21:13:26,Twokinds,Yeah well I don't have any other opponents
255,2018-12-30 21:14:59,Twokinds,Yes
256,2018-12-30 21:15:31,Twokinds,"Well, actually I'm just playing with the pieces. I forgot how to play Settlers."
257,2018-12-30 21:15:33,Twokinds,XD
258,2018-12-30 21:15:47,Twokinds,It's been years.
272,2018-12-30 22:14:54,Twokinds,Wow
273,2018-12-30 22:14:59,Twokinds,The Game of Life is not going well either
275,2018-12-30 22:15:36,Twokinds,"I finally pay off the debt on my house and the very next turn I buy a cabin, putting me $90k back into debt."
276,2018-12-30 22:16:42,Twokinds,And then a sailboat! This family is insane.
281,2018-12-30 22:17:56,Twokinds,And then I sponsor an art exhibit! This is not looking good.
286,2018-12-30 22:20:41,Twokinds,"So I end the game at $260,000 in debt."
289,2018-12-30 22:25:50,Twokinds,Life
